"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Treadmill Running","Run","","","","2020-01-18","","3613.25","","","","","0.501216948032379","2.00200009346008","","69","","136","170","","","0.600600028038025","19.69","1","2","3","11","5","3","5","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-01-18","","0","","","","","0.500422477722168","0","","","","130","157","","","0.636555282921082","22.08","1","4","7","13","3","1","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-19","","24.5499992370605","","","","","0.0336236096918583","0.202999994158745","","","","68","75","","","0.130449200132836","0.06","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-19","","8008.5498046875","","","","","1.00261414051056","2.21900010108948","","70","","146","197","","","0.668888731641364","49.69","1","2","5","8","6","7","32","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-20","","32.3899993896484","","","","","0.0335475020110607","0.26800000667572","","","","63","75","","","0.0782046097748706","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-20","","8004.68017578125","","","","","1.0008327960968","2.22199988365173","","73","","146","178","","","0.66659996509552","49.27","2","3","3","8","5","7","32","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-21","","21.0799999237061","","","","","0.0336877778172493","0.17399999499321","","3","","64","80","","","0.0800486631306252","0.02","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-21","","7998.72021484375","","","","","1.00314664840698","2.21499991416931","","71","","146","185","","","0.66918882851485","49.78","2","4","3","6","6","7","32","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-21","","7001.259765625","","","","","0.878014445304871","2.21499991416931","","74","","152","200","","","0.664499974250793","42.8","4","1","2","5","4","2","35","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-22","","12.2799997329712","","","","","0.0336144454777241","0.101000003516674","","","","63","73","","","0.0455733279468764","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-01-22","","1463.07995605469","","","","","0.422833323478699","0.961000025272369","","28","","108","137","","","0.330184836560907","5","18","6","1","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-01-22","","0","","","","","0.250116944313049","0","","","","56","73","","","0.529492102176652","7.5","15","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-23","","20.6100006103516","","","","","0.0339377783238888","0.168999999761581","","3","","61","77","","","0.115330692921633","0.05","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-01-23","","3998.14990234375","","","","","0.502632200717926","2.21000003814697","","75","","146","163","","","0.663000011444092","24.07","3","0","0","1","3","3","20","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2020-01-23","","0","","","","","0.521239459514618","0","","","","80","130","","","0.538836046971477","16.49","31","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-01-24","","9.65999984741211","","","","","0.0334327779710293","0.0799999982118607","","","","59","71","","","0.029122399486374","1","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
